,city,population,latitude,longitude,activity_name,activity_description,ID
0,"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607,Caminando sobre el Mapa,"Instalación de 2 mapas de 14 x 14m en los que los ciudadanos pueden comprobar la evolución de la ciudad y la localización de carril-bici, estaciones de Bicicoruña, sendas peatonales, etc
Se instalarán sobre paseo peatonal y los viandantes pueden internarse en los mapas",0
1,"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607,"Muestra sobre ejecución de proyectos y análisis de calidad del aire, mapa de ruidos, etc. en el término municipal",Habilitada una carpa donde se muestra la aparatología empleada para las mediciones de la calidad del aire así como los datos en tiempo real obtenidos.,1
2,"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607,A Coruña en bici,Se organizarán diversas marchas en bicicleta enfocado  a la participación en la SEM2024 de diferentes Centros Escolares del municipio fomentando la movilidad sostenible,2
3,"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607,Día sin coches,"Se cortará al tráfico una calle referente del mapa de la ciudad, en la que se realizarán diversas actividades lúdico-deportivas",3
4,"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607,La policía local con la movilidad,"Una muestra de las diversas actividades que realiza la policía Local con el fin de facilitar la movilidad, será expuesta durante toda la semana.
Exposición de elementos usados en calle  así como demostraciones de uso de drones y charlas y conferencias de motivación para el uso de la movilidad sostenible.",4
5,"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607,"Exposiciones permanentes de autobuses urbanos de A Coruña, de sistemas de semaforización y control por parte del centro integral de movilidad",El CIMOB expondrá sus actuaciones en materia de control de tráfico y vías urbanas en el entorno del municipio.,5
6,"Abrera, Spain",12821,41.5175266,1.9017802,Bicicletada,enguany tornem a realitzar la bicicletada pel municipi d'Abrera. aquest any volem fer un recorregut més llarg i oferir una visió més àmplia de les possibilitats que tenim per fer ús d'aquest mode de manera quotidiana,6
7,"Abrera, Spain",12821,41.5175266,1.9017802,Bus gratuït,"aprofitant el dia de mercat, oferirem durant tota la jornada, el bus gratuït per tots els usuaris",7
8,"Abrera, Spain",12821,41.5175266,1.9017802,caminata popular,"des del departament de Salut, aprofitarem la setmana de la mobilitat per fer un recorregut a peu pel terme municipal",8
9,"Àger, Spain",600,42.0007934,0.7610053,Inauguració del carril bici,No description available,9
