Unnamed: 0,city,activity_name,activity_description,ID,prompt
0,"A Coruña, Spain",Caminando sobre el Mapa,"Instalación de 2 mapas de 14 x 14m en los que los ciudadanos pueden comprobar la evolución de la ciudad y la localización de carril-bici, estaciones de Bicicoruña, sendas peatonales, etc
Se instalarán sobre paseo peatonal y los viandantes pueden internarse en los mapas",0,"This is an event called 'Walking on the map', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Installation of 2 14 x 14m maps in which citizens can check the evolution of the city and the location of lane-bici, bicicoruña stations, pedestrian paths, etc.
They will be installed on a pedestrian walk and the pedestrians can go into the maps'"
1,"A Coruña, Spain","Muestra sobre ejecución de proyectos y análisis de calidad del aire, mapa de ruidos, etc. en el término municipal",Habilitada una carpa donde se muestra la aparatología empleada para las mediciones de la calidad del aire así como los datos en tiempo real obtenidos.,1,"This is an event called 'Sample on project execution and air quality analysis, noise map, etc.In the municipality', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Enabling a tent showing the appliances used for air quality measurements as well as real -time data obtained.'"
2,"A Coruña, Spain",A Coruña en bici,Se organizarán diversas marchas en bicicleta enfocado  a la participación en la SEM2024 de diferentes Centros Escolares del municipio fomentando la movilidad sostenible,2,"This is an event called 'A Coruña by bike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Various bicycle marches focused on participation in the SEM2024 of different schools of the municipality promoting sustainable mobility will be organized'"
3,"A Coruña, Spain",Día sin coches,"Se cortará al tráfico una calle referente del mapa de la ciudad, en la que se realizarán diversas actividades lúdico-deportivas",3,"This is an event called 'Day without cars', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Traffic will be cut a reference street of the city map, in which various recreational-sports activities will be carried out'"
4,"A Coruña, Spain",La policía local con la movilidad,"Una muestra de las diversas actividades que realiza la policía Local con el fin de facilitar la movilidad, será expuesta durante toda la semana.
Exposición de elementos usados en calle  así como demostraciones de uso de drones y charlas y conferencias de motivación para el uso de la movilidad sostenible.",4,"This is an event called 'Local Police with mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'A sample of the various activities carried out by the Local Police in order to facilitate mobility, will be exposed throughout the week.
Exhibition of elements used in street as well as demonstrations for the use of drones and talks and motivation conferences for the use of sustainable mobility.'"
5,"A Coruña, Spain","Exposiciones permanentes de autobuses urbanos de A Coruña, de sistemas de semaforización y control por parte del centro integral de movilidad",El CIMOB expondrá sus actuaciones en materia de control de tráfico y vías urbanas en el entorno del municipio.,5,"This is an event called 'Permanent Urban Bus Exhibitions of A Coruña, with Semaforization and Control Systems by the Integral Mobility Center', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The Cimob will present its actions in traffic control and urban roads in the environment of the municipality.'"
6,"Abrera, Spain",Bicicletada,enguany tornem a realitzar la bicicletada pel municipi d'Abrera. aquest any volem fer un recorregut més llarg i oferir una visió més àmplia de les possibilitats que tenim per fer ús d'aquest mode de manera quotidiana,6,"This is an event called 'Bicycle', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'This year we return the bicycle through the municipality of Abrera.This year we want to take a longer tour and offer a broader view of the possibilities we have to use this mode everyday'"
7,"Abrera, Spain",Bus gratuït,"aprofitant el dia de mercat, oferirem durant tota la jornada, el bus gratuït per tots els usuaris",7,"This is an event called 'Free bus', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Taking advantage of the market day, we will offer throughout the day, the free bus for all users'"
8,"Abrera, Spain",caminata popular,"des del departament de Salut, aprofitarem la setmana de la mobilitat per fer un recorregut a peu pel terme municipal",8,"This is an event called 'Popular walk', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'From the Department of Health, we will take advantage of Mobility Week to make a walking tour of the municipal district'"
9,"Àger, Spain",Inauguració del carril bici,No description available,9,"This is an event called 'Opening of the bike lane', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
10,"Àger, Spain",Sortida cicloturista fins al Parc Astronòmic del Montsec amb visita del parc inclosa,Sortida cicloturista fins al Parc Astronòmic del Montsec amb visita al parc inclosa per tal de mostrar l'itinerari segur per arribar fins al parc de forma sostenible i saludable.,10,"This is an event called 'Departure cycling to the Montsec Astronomical Park with a visit from the park included', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Departure cycling to the Montsec Astronomical Park with a visit to the park included in order to show the safe itinerary to reach the park in a sustainable and healthy way.'"
11,"Agramunt, Spain",Quina és la classe més sostenible?,"Fomentem que els nens i nenes dels centres escolar vagin amb bicicleta o patinet al centre escolar, cada dia, cada classe ha de comptar quanta gent utilitza transports sostenibles, al final de setmana es mira quina ha sigut la classe més sostenible.",11,"This is an event called 'What is the most sustainable class?', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We encourage the children of the schools to bike or scooter at the school, each day, each class must count how many people use sustainable transport, at the end of the week look at what has been the most sustainable class.'"
12,"Aiguaviva, Spain",Caminada o pedalada,Enguany es planificarà la realització d'una caminada o pelada per la via verda del municipi,12,"This is an event called 'Hike or pedal', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'This year, a hike or peeled by the greenway of the municipality will be planned'"
13,"Alajeró, Spain",“La fragilización de las personas en el espacio público”,Empoderamiento de personas mayores y con movilidad reducida para moverse con seguridad en entornos urbanos.,13,"This is an event called '""The frailization of people in public space""', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Empowerment of older people and with reduced mobility to move safely in urban environments.'"
14,"Alajeró, Spain",Exposición sobre Recuperación de Espacio Público,Muestra gráfica de actuaciones en el espacio público de ciudades pertenecientes a la Red de Ciudades que Caminan.,14,"This is an event called 'Exhibition on public space recovery', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Graphic shows of actions in the public space of cities belonging to the network of cities that walk.'"
15,"Alajeró, Spain","Ponencia Marco: ""Recuperar el Espacio Público: el Tamaño No Importa""","Ponente: Uxío Benítez, teniente alcalde de Tomiño (Pontevedra) y diputado provincial (2015-2023).
Debate moderado por Doña Ana Montalbán Navas y representantes de las ciudades y pueblos canarios miembros de la Red.",15,"This is an event called 'Framework: ""Recover the public space: size does not matter""', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Speaker: Uxío Benítez, Lieutenant Mayor of Tomiño (Pontevedra) and Provincial Deputy (2015-2023).
Moderate debate by Mrs. Ana Montalbán Navas and representatives of the Canarian cities and towns members of the Network.'"
16,"Alajeró, Spain",| Caso Local: Proyecto de Transformación Urbana en Alajeró,"Presentación del proyecto de creación de zonas 20/30 con plataforma única de convivencia y prioridad peatonal en Playa Santiago, a cargo de Manuel Galván García, Ingeniero de caminos, canales y puertos.",16,"This is an event called '|Local case: urban transformation project in Alajeró', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Presentation of the 20/30 Zone Creation Project with Unique Platform for Coexistence and Pedestrian Priority in Playa Santiago, by Manuel Galván García, engineer of roads, channels and ports.'"
17,"Alajeró, Spain","Paseo, Reflexión y Propuesta","Paseo guiado por las intervenciones urbanas en Playa Santiago, Alajeró, con paradas para la reflexión conjunta.",17,"This is an event called 'WALK, REFLECTION AND PROPOSAL', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Guided walk through urban interventions in Playa Santiago, Alajeró, with stops for joint reflection.'"
18,"Albacete, Spain",Paseo en Bici,Paseo ciclista para la promoción del uso de la bicicleta y de la movilidad sostenible.,18,"This is an event called 'Bike ride', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Cyclist walk for the promotion of bicycle and sustainable mobility.'"
19,"Albalat de la Ribera, Spain",Xarrada sobre la mobilitat sostenible i l'espai públic,"Xarrada al CEIP Ausiàs March d'Albalat de la Ribera per part dels agents de la Policia Local, on explicaran la importància d'una mobilitat sostenible i com compartir col·lectivament l'espai públic i garantir que totes i tots puguem moure'ns d'una manera segura i còmoda en un entorn agradable.",19,"This is an event called 'Talk about sustainable mobility and public space', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Talk to CEIP Ausiàs March d'Albalat de la Ribera by local police officers, where they will explain the importance of sustainable mobility and how to collectively share public space and ensure that everyone can move.'A safe and comfortable way in a pleasant environment.'"
20,"Albesa, Spain",Caminada,No description available,20,"This is an event called 'Hike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
21,"Alcalá de Henares, Spain",CURSO APRENDER A MONTAR EN BICICLETA,"Del lunes 16 al viernes 20 de septiembre  de 18:00 a 19:00 h en el Parque O´Donnell (Puerta “Casita del O´Donnell”). La actividad se realiza con inscripción previa y es obligatorio casco, protecciones y bicicleta propia.

Montar en bicicleta es un hito para los niños que refuerza su sensación de independencia y crecimiento.

Aprender a montar en bicicleta es normalmente una cuestión de ocio o juego, sin embargo, la bicicleta es una alternativa al actual sistema de transporte. Combate el cambio climático, no consume recursos naturales, ahorra tiempo en muchos casos y supone un beneficio económico directo ¿te lo has planteado? Además, montar en bicicleta es saludable, ecológico, divertido…, si quieres que tu hijo aprenda a través de este curso es una buena oportunidad.

El curso lo realizan los niños solos, guiados por un educador para la realización de ejercicios que les permiten guardar el equilibrio y propulsarse.",21,"This is an event called 'Learning Bicycle Course', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'From Monday 16 to Friday, September 20 from 6:00 p.m. to 7:00 p.m. in the O'Donnell Park (Puerta “Casita del O'Donnell”).The activity is carried out with previous registration and it is mandatory helmet, protections and its own bicycle.

Bicycle riding is a milestone for children who reinforces their feeling of independence and growth.

Learning to ride a bicycle is normally a matter of leisure or game, however, the bicycle is an alternative to the current transport system.Combat climate change, does not consume natural resources, save time in many cases and supposes a direct economic benefit, have you raised it?In addition, riding a bicycle is healthy, ecological, fun ... if you want your child to learn through this course it is a good opportunity.

The course is carried out by children alone, guided by an educator to perform exercises that allow them to save their balance and propel themselves.'"
22,"Alcalá de Henares, Spain",RUTAS PEATONALES,"Dentro de las actividades ofertadas en el marco de la Semana Europea de la Movilidad, se realizaron itinerarios para recorrer las zonas verdes de la ciudad.",22,"This is an event called 'Pedestrian routes', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Among the activities offered within the framework of the European Mobility Week, itineraries were carried out to travel the green areas of the city.'"
23,"Alcanar, Spain","Taller ""Experimenta la mobilitat elèctrica""",Alumnes de 2n ESO a l'institut IES sòl de riu d'Alcanar,23,"This is an event called 'Workshop ""Experiment Electric Mobility""', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Students of 2nd ESO in the institute IES river soil of Alcanar'"
24,"Alcanó, Spain",Compartim l'espai públic. Alcanó es mou,"Pacificar de trànsit l'entorn de la zona escolar del poble.
Planificar un dia per fer mesures de trànsit (col·locar senyals, pintar passos de vianants...)
Organitzarem una caminada per englobar totes aquestes mesures",24,"This is an event called 'We share the public space.Alcanó moves', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Pacifying traffic on the environment of the village school area.
Plan a day to make traffic measurements (place signals, paint pedestrian crossings ...)
We will organize a hike to encompass all these measures'"
25,"Alcoletge, Spain",PEDALADA POPULAR,"Pedalada popular, para todos los públicos, por el término municipal de Alcoletge",25,"This is an event called 'Popular pedalada', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Popular pedalada, for all audiences, for the municipality of Alcoletge'"
26,"Alella, Spain","Els dimecres, sense cotxe a l'escola",Durant tota la setmana es vol sensibilitzar i promocionar els camins escolars qdels centres educatius i concretament el dimescres 16 de setembre es vol fer el dia sense cotxe,26,"This is an event called 'Wednesdays without car at school', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Throughout the week we want to raise awareness and promote the schools QDEs educational centers and specifically the DIMESCRES September 16 is to be done the day without car'"
27,"Algeciras, Spain",DIA TRANSPORTE BUS URBANO GRATUITO,Bus urbano colectivo gratuito con objeto de fomentar modos de transporte menos contaminante,27,"This is an event called 'Free Urban Bus Transport Day', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Free collective urban bus in order to promote less polluting modes'"
