ID,city,activity_name,activity_description,primary_result,primary_classification,primary_score,secondary_result,secondary_classification,secondary_score
0,"A Coruña, Spain",Caminando sobre el Mapa,"Instalación de 2 mapas de 14 x 14m en los que los ciudadanos pueden comprobar la evolución de la ciudad y la localización de carril-bici, estaciones de Bicicoruña, sendas peatonales, etc
Se instalarán sobre paseo peatonal y los viandantes pueden internarse en los mapas","{'sequence': ""This is an event called 'Walking on the map', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Installation of 2 14 x 14m maps in which citizens can check the evolution of the city and the location of lane-bici, bicicoruña stations, pedestrian paths, etc.\r\nThey will be installed on a pedestrian walk and the pedestrians can go into the maps'"", 'labels': ['This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.4120171070098877, 0.2813011705875397, 0.17862369120121002, 0.08194655179977417, 0.018968239426612854, 0.011018345132470131, 0.00874373596161604, 0.007381188217550516]}",Infrastructure Inauguration,0.4120171070098877,,,
1,"A Coruña, Spain","Muestra sobre ejecución de proyectos y análisis de calidad del aire, mapa de ruidos, etc. en el término municipal",Habilitada una carpa donde se muestra la aparatología empleada para las mediciones de la calidad del aire así como los datos en tiempo real obtenidos.,"{'sequence': ""This is an event called 'Sample on project execution and air quality analysis, noise map, etc.In the municipality', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Enabling a tent showing the appliances used for air quality measurements as well as real -time data obtained.'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.'], 'scores': [0.5608859658241272, 0.2828526794910431, 0.053262859582901, 0.035389695316553116, 0.024229418486356735, 0.019911691546440125, 0.015536529012024403, 0.007931140251457691]}",Exhibition,0.5608859658241272,,,
2,"A Coruña, Spain",A Coruña en bici,Se organizarán diversas marchas en bicicleta enfocado  a la participación en la SEM2024 de diferentes Centros Escolares del municipio fomentando la movilidad sostenible,"{'sequence': ""This is an event called 'A Coruña by bike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Various bicycle marches focused on participation in the SEM2024 of different schools of the municipality promoting sustainable mobility will be organized'"", 'labels': ['This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.730317234992981, 0.0850629135966301, 0.06615405529737473, 0.03675105422735214, 0.03351333737373352, 0.029507895931601524, 0.00972586777061224, 0.008967588655650616]}",Cycling Event,0.730317234992981,,,
3,"A Coruña, Spain",Día sin coches,"Se cortará al tráfico una calle referente del mapa de la ciudad, en la que se realizarán diversas actividades lúdico-deportivas","{'sequence': ""This is an event called 'Day without cars', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Traffic will be cut a reference street of the city map, in which various recreational-sports activities will be carried out'"", 'labels': ['This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.971630871295929, 0.00808568112552166, 0.005367528647184372, 0.004496073350310326, 0.0030861778650432825, 0.002844281727448106, 0.00231192447245121, 0.0021774335764348507]}",Car-Free Day,0.971630871295929,,,
4,"A Coruña, Spain",La policía local con la movilidad,"Una muestra de las diversas actividades que realiza la policía Local con el fin de facilitar la movilidad, será expuesta durante toda la semana.
Exposición de elementos usados en calle  así como demostraciones de uso de drones y charlas y conferencias de motivación para el uso de la movilidad sostenible.","{'sequence': ""This is an event called 'Local Police with mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'A sample of the various activities carried out by the Local Police in order to facilitate mobility, will be exposed throughout the week.\r\nExhibition of elements used in street as well as demonstrations for the use of drones and talks and motivation conferences for the use of sustainable mobility.'"", 'labels': ['This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options'], 'scores': [0.7923862338066101, 0.17267121374607086, 0.010499429889023304, 0.007642427925020456, 0.006939243525266647, 0.003548902692273259, 0.0033030856866389513, 0.0030094804242253304]}",Conference,0.7923862338066101,"{'sequence': ""This is an event called 'Local Police with mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'A sample of the various activities carried out by the Local Police in order to facilitate mobility, will be exposed throughout the week.\r\nExhibition of elements used in street as well as demonstrations for the use of drones and talks and motivation conferences for the use of sustainable mobility.'"", 'labels': ['This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5352249145507812, 0.4355991780757904, 0.029175886884331703]}",Professionals/Policymakers,0.5352249145507812
5,"A Coruña, Spain","Exposiciones permanentes de autobuses urbanos de A Coruña, de sistemas de semaforización y control por parte del centro integral de movilidad",El CIMOB expondrá sus actuaciones en materia de control de tráfico y vías urbanas en el entorno del municipio.,"{'sequence': ""This is an event called 'Permanent Urban Bus Exhibitions of A Coruña, with Semaforization and Control Systems by the Integral Mobility Center', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The Cimob will present its actions in traffic control and urban roads in the environment of the municipality.'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.'], 'scores': [0.698887288570404, 0.19308310747146606, 0.06754231452941895, 0.015395727008581161, 0.01048218458890915, 0.006009669508785009, 0.004572364501655102, 0.004027368035167456]}",Exhibition,0.698887288570404,,,
6,"Abrera, Spain",Bicicletada,enguany tornem a realitzar la bicicletada pel municipi d'Abrera. aquest any volem fer un recorregut més llarg i oferir una visió més àmplia de les possibilitats que tenim per fer ús d'aquest mode de manera quotidiana,"{'sequence': ""This is an event called 'Bicycle', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'This year we return the bicycle through the municipality of Abrera.This year we want to take a longer tour and offer a broader view of the possibilities we have to use this mode everyday'"", 'labels': ['This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.45195823907852173, 0.31179311871528625, 0.11648436635732651, 0.06580013781785965, 0.019845204427838326, 0.015626082196831703, 0.014375855214893818, 0.00411695521324873]}",Cycling Event,0.45195823907852173,,,
7,"Abrera, Spain",Bus gratuït,"aprofitant el dia de mercat, oferirem durant tota la jornada, el bus gratuït per tots els usuaris","{'sequence': ""This is an event called 'Free bus', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Taking advantage of the market day, we will offer throughout the day, the free bus for all users'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.'], 'scores': [0.6552504301071167, 0.11077061295509338, 0.08323603868484497, 0.05667690560221672, 0.03189095854759216, 0.03054291382431984, 0.015882698819041252, 0.015749530866742134]}",Exhibition,0.6552504301071167,,,
8,"Abrera, Spain",caminata popular,"des del departament de Salut, aprofitarem la setmana de la mobilitat per fer un recorregut a peu pel terme municipal","{'sequence': ""This is an event called 'Popular walk', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'From the Department of Health, we will take advantage of Mobility Week to make a walking tour of the municipal district'"", 'labels': ['This activity is a walking tour, guided tour, or organized walk', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.7028034329414368, 0.10845355689525604, 0.07061781734228134, 0.05327155068516731, 0.03080529347062111, 0.017663955688476562, 0.008546264842152596, 0.00783813837915659]}",Walking Tour,0.7028034329414368,,,
9,"Àger, Spain",Inauguració del carril bici,No description available,"{'sequence': ""This is an event called 'Opening of the bike lane', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.7520778775215149, 0.0841723307967186, 0.051472581923007965, 0.04306399077177048, 0.03297247365117073, 0.016153117641806602, 0.010665819980204105, 0.009421713650226593]}",Infrastructure Inauguration,0.7520778775215149,,,
