,ID,city,activity_name,activity_description,primary_classification,primary_score,secondary_classification,secondary_score,population,latitude,longitude
0,0,"A Coruña, Spain",Caminando sobre el Mapa,"Instalación de 2 mapas de 14 x 14m en los que los ciudadanos pueden comprobar la evolución de la ciudad y la localización de carril-bici, estaciones de Bicicoruña, sendas peatonales, etc
Se instalarán sobre paseo peatonal y los viandantes pueden internarse en los mapas",Infrastructure Inauguration,0.392483651638031,,,244850,43.35596455288833,-8.397065696509607
1,1,"A Coruña, Spain","Muestra sobre ejecución de proyectos y análisis de calidad del aire, mapa de ruidos, etc. en el término municipal",Habilitada una carpa donde se muestra la aparatología empleada para las mediciones de la calidad del aire así como los datos en tiempo real obtenidos.,Cultural/Sporting Event,0.4230312407016754,Walking Tour,0.5227839350700378,244850,43.35596455288833,-8.397065696509607
2,2,"A Coruña, Spain",A Coruña en bici,Se organizarán diversas marchas en bicicleta enfocado  a la participación en la SEM2024 de diferentes Centros Escolares del municipio fomentando la movilidad sostenible,Cultural/Sporting Event,0.8105632662773132,Cycling Event,0.9962115287780762,244850,43.35596455288833,-8.397065696509607
3,3,"A Coruña, Spain",Día sin coches,"Se cortará al tráfico una calle referente del mapa de la ciudad, en la que se realizarán diversas actividades lúdico-deportivas",Car-Free Day,0.8739654421806335,,,244850,43.35596455288833,-8.397065696509607
4,4,"A Coruña, Spain",La policía local con la movilidad,"Una muestra de las diversas actividades que realiza la policía Local con el fin de facilitar la movilidad, será expuesta durante toda la semana.
Exposición de elementos usados en calle  así como demostraciones de uso de drones y charlas y conferencias de motivación para el uso de la movilidad sostenible.",Conference,0.7627232670783997,Professionals/Policymakers,0.5352249145507812,244850,43.35596455288833,-8.397065696509607
5,5,"A Coruña, Spain","Exposiciones permanentes de autobuses urbanos de A Coruña, de sistemas de semaforización y control por parte del centro integral de movilidad",El CIMOB expondrá sus actuaciones en materia de control de tráfico y vías urbanas en el entorno del municipio.,Exhibition,0.5897501707077026,,,244850,43.35596455288833,-8.397065696509607
6,6,"Abrera, Spain",Bicicletada,enguany tornem a realitzar la bicicletada pel municipi d'Abrera. aquest any volem fer un recorregut més llarg i oferir una visió més àmplia de les possibilitats que tenim per fer ús d'aquest mode de manera quotidiana,Cultural/Sporting Event,0.4945612847805023,Cycling Event,0.9657527804374696,12821,41.5175266,1.9017802
7,7,"Abrera, Spain",Bus gratuït,"aprofitant el dia de mercat, oferirem durant tota la jornada, el bus gratuït per tots els usuaris",Cultural/Sporting Event,0.4482404589653015,Walking Tour,0.5841612219810486,12821,41.5175266,1.9017802
8,8,"Abrera, Spain",caminata popular,"des del departament de Salut, aprofitarem la setmana de la mobilitat per fer un recorregut a peu pel terme municipal",Cultural/Sporting Event,0.7661146521568298,Walking Tour,0.9805448651313782,12821,41.5175266,1.9017802
9,9,"Àger, Spain",Inauguració del carril bici,No description available,Infrastructure Inauguration,0.6592442989349365,,,600,42.0007934,0.7610053
