city,population,latitude,longitude
"A Coruña, Spain",244850,43.35596455288833,-8.397065696509607
"Abrera, Spain",12821,41.5175266,1.9017802
"Àger, Spain",600,42.0007934,0.7610053
"Agramunt, Spain",5515,41.7871869,1.0979794
"Aiguaviva, Spain",758,41.9376629,2.7620863
"Alajeró, Spain",2026,28.0633564,-17.2378262
"Albacete, Spain",172340,38.994349,-1.8585424
"Albalat de la Ribera, Spain",3444,39.2018284,-0.3877848
"Albesa, Spain",1558,41.752541,0.6595184
"Alcalá de Henares, Spain",194000,40.4819791,-3.363542100000018
"Alcanar, Spain",9402,40.5430578,0.4767476
"Alcanó, Spain",240,41.46955519999999,0.6298922
"Alcoletge, Spain",3435,41.647636,0.694722
"Alella, Spain",10110,41.4919653,2.2940817
"Algeciras, Spain",121000,36.14115346789328,-5.456233000000005
"Alguaire, Spain",3200,41.7294516,0.554149
"Alicante, Spain",332067,38.3459963,-0.4906855
"Almatret, Spain",305,41.3057999,0.4237121
"Almenar, Spain",25126,41.7970523,0.5680948000000399
"Almería, Spain",200000,36.834047,-2.4637136
"Altafulla, Spain",5800,41.1408587,1.3776889
"Alzira, Spain",46421,39.1511854,-0.4333643
"Amer, Spain",2466,42.0104174,2.6028036
"Ames, Spain",32190,42.9038027,-8.658367699999985
"Amposta, Spain",21317,40.7067997,0.5801695
"Argentona, Spain",12295,41.5531639,2.4008466000000226
"Arroyo del Ojanco, Spain",2288,38.3218279,-2.893882
"Artesa de Lleida, Spain",1534,41.553054,0.7033745
"Ascó, Spain",1682,41.1827575,0.5671571
"Badalona, Spain",224301,41.4469883,2.2450325
"Bagà, Spain",2299,42.25262,1.861711
"Baix Pallars, Spain",115,42.3234025,1.0643223
"Balaguer, Spain",16485,41.7900026,0.8064472
"Balsareny, Spain",3306,41.86345619999999,1.8745219
"Banyoles, Spain",20100,42.1164301,2.7637207
"Barakaldo, Spain",101582,43.2970409,-2.9850739
"Barañáin, Spain",20000,42.8041023,-1.6846077
"Barcelona, Spain",1636732,41.3873974,2.168568
"Begues, Spain",7450,41.3316045,1.919277999999963
"Belianes, Spain",514,41.5605304,1.0143426
"Bellcaire d'Urgell, Spain",1315,41.7583443,0.9044696
"Bellvís, Spain",2400,41.6743299,0.8186873
"Benavent de Segrià, Spain",1500,41.697298,0.6328539
"Benavente, Spain",17261,42.0028837,-5.6784691
"Benetússer (BENETUSSER)
, Spain",15493,39.4240498,-0.397069
"Benidorm, Spain",66642,38.5410566,-0.1224936999999499
"Benissanet, Spain",1200,41.0584559,0.6340386
"Besalú, Spain",2441,42.2002357,2.6953375
"Bescanó, Spain",5000,41.9657629,2.7400327999999945
"Bigues i Riells del Fai, Spain",9980,41.677112,2.2218985
"Bilbao, Spain",360000,43.2630126,-2.9349852
"Binéfar, Spain",10070,41.8485199,0.2960544
"Blanes, Spain",39363,41.6759954,2.7902289
"Boadella i les Escaules, Spain",17723,42.33044230000001,2.8565086999999494
"Boquiñeni, Spain",50641,41.8476855,-1.2524043
