ID,secondary_result,secondary_classification,secondary_score,Professionals/Policymakers,General Audience,Children/Schools
4,"{'sequence': ""This is an event called 'Local Police with mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'A sample of the various activities carried out by the Local Police in order to facilitate mobility, will be exposed throughout the week.\r\nExhibition of elements used in street as well as demonstrations for the use of drones and talks and motivation conferences for the use of sustainable mobility.'"", 'labels': ['This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5352249145507812, 0.4355991780757904, 0.029175886884331703]}",Professionals/Policymakers,0.5352249145507812,0.5352249145507812,0.4355991780757904,0.029175886884331703
15,"{'sequence': 'This is an event called \'Framework: ""Recover the public space: size does not matter""\', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: \'Speaker: Uxío Benítez, Lieutenant Mayor of Tomiño (Pontevedra) and Provincial Deputy (2015-2023).\r\nModerate debate by Mrs. Ana Montalbán Navas and representatives of the Canarian cities and towns members of the Network.\'', 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.6192370653152466, 0.334637850522995, 0.046125076711177826]}",General Audience,0.6192370653152466,0.334637850522995,0.6192370653152466,0.046125076711177826
19,"{'sequence': ""This is an event called 'Talk about sustainable mobility and public space', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Talk to CEIP Ausiàs March d'Albalat de la Ribera by local police officers, where they will explain the importance of sustainable mobility and how to collectively share public space and ensure that everyone can move.'A safe and comfortable way in a pleasant environment.'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.8569789528846741, 0.10091277211904526, 0.04210830479860306]}",General Audience,0.8569789528846741,0.10091277211904526,0.8569789528846741,0.04210830479860306
23,"{'sequence': 'This is an event called \'Workshop ""Experiment Electric Mobility""\', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: \'Students of 2nd ESO in the institute IES river soil of Alcanar\'', 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.5076351165771484, 0.3306010067462921, 0.16176393628120422]}",General Audience,0.5076351165771484,0.16176393628120422,0.5076351165771484,0.3306010067462921
29,"{'sequence': ""This is an event called 'Bicycle repair workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'During the five working days of the SEM, two tents of 3 x 3 m dimensions will be installed in a different place to house a workshop to advise and repair bicycles.The workshop will be open to the public from 9:00 a.m. to 2:00 p.m. and from 5:00 p.m. to 8:00 p.m.The workshop will have an experienced bicycle mechanic.'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.7778087258338928, 0.11445251852273941, 0.10773879289627075]}",General Audience,0.7778087258338928,0.10773879289627075,0.7778087258338928,0.11445251852273941
31,"{'sequence': ""This is an event called 'Electric Sick Conduction Workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'An electric scooter driving workshop will be taught, with five days, during the five working days of the SEM, with a duration of three hours each day, from 5:00 p.m. to 8:00 p.m.The workshop will be composed of a theoretical part of an hour and a practical part of two hours.'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5979482531547546, 0.32285940647125244, 0.07919236272573471]}",General Audience,0.5979482531547546,0.32285940647125244,0.5979482531547546,0.07919236272573471
39,"{'sequence': ""This is an event called 'Round table on mobility: move around the city in times of climate emergency', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Round table on mobility: move around the city in times of climate emergency\r\n(9-11 hours)'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.6051660180091858, 0.3457512855529785, 0.049082785844802856]}",General Audience,0.6051660180091858,0.3457512855529785,0.6051660180091858,0.049082785844802856
40,"{'sequence': ""This is an event called 'At school on foot!', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'For awareness and awareness of citizen awareness of the values \u200b\u200bof sustainable, healthy and safe mobility, at school on foot!'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.6184647679328918, 0.3640078008174896, 0.01752745360136032]}",General Audience,0.6184647679328918,0.01752745360136032,0.6184647679328918,0.3640078008174896
46,"{'sequence': ""This is an event called 'Talk on electric mobility by the Sommobility Cooperative', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.6196478009223938, 0.2867547571659088, 0.09359747916460037]}",General Audience,0.6196478009223938,0.2867547571659088,0.6196478009223938,0.09359747916460037
47,"{'sequence': ""This is an event called 'Sustainable mobility workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.44912976026535034, 0.41593337059020996, 0.1349368542432785]}",Professionals/Policymakers,0.4491297602653503,0.44912976026535034,0.41593337059020996,0.1349368542432785
