ID,secondary_result,secondary_classification,secondary_score
54,"{'sequence': ""This is an event called 'Activities on wheels', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'During the week, activities on wheels will be held at school so much within school hours at the outputs and entries.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.7623549699783325, 0.1358800083398819, 0.10176495462656021]}",Schools,0.7623549699783325
65,"{'sequence': ""This is an event called 'Start activities in schools', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Monday 23\r\nRoad education circuit in 1st ESO by the Local Police.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.923011064529419, 0.03865068033337593, 0.03833826258778572]}",Schools,0.923011064529419
114,"{'sequence': ""This is an event called 'Skill Circuit + ITB (Technical Bicycle Inspection)', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Circuit of unique and obligatory obstacles where children must pass skill tests following the direction signs (ascents, descents, rockers, narrow roads, flags, ...).The activity is intended for the scoundrel to make it in its own bike shifts or with which it includes the circuit.We also have next to the circuit of an ITB point of the bicycle to facilitate a review of the needs and repairs and/or maintenance of the participants' bicycles, inform them of the state and participate in a small repair.\r\nValentí Almirall Square from 4pm to 7pm'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.5338068008422852, 0.300494909286499, 0.16569823026657104]}",Cyclists,0.5338068008422852
131,"{'sequence': ""This is an event called 'ROAD EDUCATION WORKSHOP', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Taught by the Benetússer Local Police to ESO students on the use of electric scooters and bicycles.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.9112499356269836, 0.0704747885465622, 0.01827525906264782]}",Cyclists,0.9112499356269836
151,"{'sequence': 'This is an event called \'Conference on ""Safety and older drivers""\', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: \'No description available\'', 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.8175644874572754, 0.1333044469356537, 0.04913102835416794]}",Drivers,0.8175644874572754
165,"{'sequence': ""This is an event called 'Safe Mobility Circuit', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Learn to safely drive a personal mobility vehicle.\r\nParticipants will carry out a circuit in electric scooter in which they will learn to maintain balance and know how to react to unexpected situations.The objective includes teaching to circulate through the city complying with safety standards and foster coexistence with other road users.\r\nIn addition, a simulation with alcohol and drug glasses will be carried out to sensitize the importance of not driving under the effects of these substances.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5168529152870178, 0.45553192496299744, 0.027615191414952278]}",Cyclists,0.5168529152870178
205,"{'sequence': ""This is an event called 'Road Education Workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Will sexize the safe use of sustainable means of transportation'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5393264293670654, 0.3304387032985687, 0.13023491203784943]}",Drivers,0.5393264293670654
214,"{'sequence': ""This is an event called 'Road Safety Circuit for Children', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '17.00 to 8:00 p.m.Praza do Concello.\r\nBoys and girls will be able to practice with their bicycles and scooters through the streets of a city simulated with support from monitors and local police to learn to move through urban space safely.\r\nCollaborate Ciclista Carballo and Local Police Club.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.7800437211990356, 0.21386776864528656, 0.0060885255225002766]}",Cyclists,0.7800437211990356
219,"{'sequence': ""This is an event called 'ATTAGE ROAD SAFETY WORKSHOP', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '17.00 to 7:00 p.m.Upper floor of the municipal market.\r\nRoad Safety Circuit for children up to 6 years, with scooters, tricycles, bicycles ... Coordinate Ciclista Carballo Club and Local Police.Collaborates the linguistic normalization service.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.8108927607536316, 0.1636827141046524, 0.025424491614103317]}",Cyclists,0.8108927607536316
232,"{'sequence': ""This is an event called 'Mobility Week', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We will travel the streets of the municipality with boys and girls to paint different school routes, thinking and designing the meeting points in them.We will also mount a road education circuit in which participants can circulate with their bikes, skates, scooters, ...'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.5185399055480957, 0.47380855679512024, 0.007651594467461109]}",Cyclists,0.5185399055480957
